KxIndex	ContractId	Age	Gender	Children	Profession	"Customer Type"	"Multiple cars"	"Driving Licence Years"	"Car category"	"Annual Kilometers"	Gearbox	Fuel	Claim	rr_Claim
47	58	68	Woman	2	"Public Sector - Manager"	Agency	No	5	Sport	26839	Automatic	Petrol		0.21948960171283366
48	59	50	Man	4+	"Private Sector - Director"	On-line	No	12	Estate	20091	Automatic	Diesel		0.18663437416416939
49	60	56	Man	3	Independant	Agency	No	11	Sport	18844	Automatic	Diesel		0.32058320769678306
50	61	26	Man	4+	"Private Sector - Director"	Agency	No	7	Sport	25453	Automatic	Petrol		0.32986387999694805
51	62	42	Woman	4+	Independant	On-line	No	16	Sport	28603	Automatic	Diesel		0.17773118045296432
52	63	45	Woman	0	"Private Sector - Employee"	Agency	No	21	Estate	10306	Automatic	Diesel		0.10309748951928957
53	64	19	Woman	2	Retired	On-line	No	1	Estate	28924	Manual	Petrol		0.017182152270256726
54	65	53	Man	4+	"Private Sector - Manager"	Agency	No	6	Sport	34010	Manual	Diesel		0.33553402559711853
55	66	83	Man	4+	"Private Sector - Director"	Agency	No	10	Sport	21559	Manual	Diesel		0.51800509824037022
56	67	38	Woman	1	Government	On-line	Yes	7	Saloon	21245	Automatic	Petrol		-0.016189774420123416
57	68	36	Woman	2	"Public Sector - Director"	Agency	Yes	7	Sport	23797	Automatic	Petrol		0.086563319780604067
58	69	68	Man	0	Retired	Agency	No	17	Saloon	29629	Automatic	Diesel		0.36104163744215789
59	71	35	Woman	2	Government	Agency	Yes	11	Sport	30757	Automatic	Diesel		0.30220696198317504
60	72	51	Woman	1	Student	On-line	No	9	Saloon	24296	Manual	Diesel		0.012372516995081503
61	74	43	Man	4+	Independant	Agency	No	16	Saloon	21687	Automatic	Petrol		0.067180141092609641
62	75	57	Woman	0	"Private Sector - Manager"	Agency	No	3	Estate	30438	Automatic	Petrol		0.08019987855894356
63	76	39	Man	1	"Private Sector - Employee"	Agency	No	10	Sport	24527	Automatic	Diesel		0.32392669912329364
64	77	30	Woman	2	Retired	Agency	No	5	Saloon	29537	Automatic	Diesel		0.10571830686220846
65	78	41	Woman	0	"Public Sector - Manager"	Agency	Yes	17	Saloon	39170	Automatic	Petrol		0.23998558258817004
66	79	56	Woman	4+	"Private Sector - Employee"	Agency	No	19	Saloon	24929	Manual	Petrol		-0.10839079287394618
67	80	74	Woman	1	Unemployed	Agency	Yes	18	Sport	37547	Manual	Diesel		0.22491377571050603
68	82	48	Woman	1	Unemployed	Agency	No	13	Saloon	33769	Automatic	Petrol		-0.026461051593232789
69	84	61	Woman	4+	Unemployed	Agency	No	11	Sport	38288	Automatic	Diesel		0.20272349668059991
70	85	52	Woman	2	"Public Sector - Employee"	Agency	No	6	Saloon	14332	Automatic	Petrol		-0.11810379038533879
71	86	63	Woman	2	Independant	Agency	Yes	11	Saloon	33021	Automatic	Diesel		0.024400768229533534
72	87	62	Woman	0	"Public Sector - Manager"	Agency	Yes	4	Saloon	22515	Manual	Diesel		0.27543207155643951
73	88	29	Man	2	Student	On-line	No	6	Saloon	23352	Automatic	Petrol		0.12407547331322842
74	89	76	Man	2	"Public Sector - Employee"	On-line	No	8	Estate	27173	Automatic	Diesel		0.36919646608538326
75	91	19	Woman	1	"Private Sector - Manager"	Agency	No	1	Sport	40747	Manual	Diesel		0.24905536538703232
76	92	49	Man	4+	Student	On-line	Yes	4	Estate	22400	Automatic	Diesel		0.13620250674761708
77	93	65	Woman	2	"Public Sector - Employee"	Agency	Yes	8	Estate	30616	Manual	Diesel		0.020410375187935939
78	94	74	Woman	1	Unemployed	Agency	Yes	10	Saloon	23009	Automatic	Diesel		0.0042723256426334053
79	95	49	Man	4+	"Private Sector - Director"	Agency	No	3	Sport	21716	Manual	Petrol		0.22903527915805066
80	96	57	Man	4+	Unemployed	On-line	No	16	Estate	40367	Manual	Petrol		0.081666097985495692
81	97	58	Man	4+	"Private Sector - Employee"	On-line	No	11	Saloon	15537	Manual	Diesel		0.046159276202537805
82	98	18	Woman	4+	"Public Sector - Manager"	Agency	No	0	Saloon	9370	Automatic	Diesel		0.17516231634518614
83	99	26	Woman	1	Retired	On-line	No	8	Estate	18995	Automatic	Petrol		-0.013486685519987857
84	100	30	Woman	1	"Private Sector - Employee"	Agency	No	4	Saloon	17937	Manual	Petrol		-0.13310715755703406
85	104	48	Woman	1	Retired	Agency	No	9	Saloon	21626	Automatic	Diesel		0.01611243343789838
86	105	47	Man	2	Retired	Agency	No	14	Saloon	30187	Automatic	Petrol		0.12095231038308853
87	106	27	Man	0	"Private Sector - Employee"	Agency	Yes	9	Saloon	20286	Automatic	Diesel		0.29198852550167109
88	108	45	Woman	2	Independant	Agency	Yes	19	Estate	20701	Automatic	Diesel		0.04788691933463507
89	109	51	Woman	2	Independant	Agency	Yes	12	Sport	25541	Automatic	Diesel		0.23579794794911679
90	110	71	Woman	4+	"Public Sector - Director"	Agency	Yes	16	Estate	18166	Manual	Diesel		-0.077783852605585915
91	111	21	Man	1	Retired	On-line	No	3	Sport	17754	Automatic	Petrol		0.27840449414105656
92	112	51	Woman	4+	Government	Agency	Yes	9	Sport	30954	Automatic	Diesel		0.20985583770259952
93	113	70	Woman	1	"Private Sector - Employee"	Agency	No	14	Sport	21169	Automatic	Diesel		0.12995793506232345
94	114	36	Man	1	"Public Sector - Manager"	Agency	Yes	18	Sport	20327	Manual	Petrol		0.4653860970702895
95	115	38	Woman	0	Student	Agency	No	12	Sport	20794	Manual	Diesel		0.43779916792627338
96	117	76	Woman	4+	Independant	Agency	No	3	Saloon	38745	Automatic	Diesel		0.17957602351556395
97	118	30	Man	4+	Unemployed	On-line	No	12	Saloon	23208	Manual	Diesel		0.27579372681325004
98	119	54	Woman	0	"Private Sector - Director"	Agency	Yes	21	Estate	35790	Automatic	Diesel		0.22595661067219103
99	120	82	Man	2	Independant	Agency	Yes	5	Estate	33814	Manual	Petrol		0.23633444345269883
100	121	53	Man	2	Independant	On-line	No	17	Estate	23467	Automatic	Petrol		0.096796144341538118
101	122	18	Woman	3	"Public Sector - Director"	Agency	Yes	0	Sport	22000	Automatic	Petrol		0.086250979376596995
102	123	55	Man	2	Student	Agency	No	12	Sport	26619	Manual	Diesel		0.3754394381982909
103	124	22	Woman	2	Independant	On-line	No	4	Estate	21835	Automatic	Petrol		-0.016689581932810386
104	125	80	Man	4+	Government	On-line	No	16	Saloon	26491	Manual	Diesel		0.4090485512310974
105	126	22	Woman	2	Independant	On-line	No	4	Estate	39606	Manual	Petrol		-0.029249396674303138
106	128	61	Woman	4+	Retired	Agency	No	5	Estate	15464	Automatic	Diesel		-0.031745540880737264
107	129	43	Woman	4+	Student	On-line	No	16	Estate	21605	Automatic	Petrol		-0.071143452633372378
108	130	43	Woman	4+	"Public Sector - Manager"	On-line	No	4	Estate	22893	Automatic	Diesel		0.10903833218495704
109	131	36	Man	2	"Private Sector - Manager"	Agency	No	18	Sport	24057	Manual	Petrol		0.36484727452458643
110	133	36	Woman	4+	"Private Sector - Employee"	Agency	Yes	4	Estate	41685	Automatic	Diesel		-0.035706827514982331
111	135	49	Man	4+	"Public Sector - Employee"	Agency	No	8	Saloon	33443	Manual	Diesel		0.16421945003328525
112	136	74	Man	0	"Private Sector - Employee"	Agency	Yes	19	Saloon	39943	Manual	Petrol		0.14162320515241861
113	137	22	Man	0	Independant	Agency	No	4	Estate	19982	Manual	Diesel		0.36276988494765172
114	138	44	Woman	1	Independant	Agency	Yes	16	Saloon	28571	Automatic	Petrol		-0.024268477845650199
115	139	18	Woman	0	Retired	On-line	No	0	Estate	26881	Automatic	Petrol		0.17343990464752612
116	140	19	Man	4+	Government	Agency	Yes	1	Estate	9482	Automatic	Diesel		0.19628025393323151
117	141	48	Woman	2	Retired	Agency	No	16	Estate	31431	Automatic	Diesel		0.077648170883977768
118	142	25	Man	0	Unemployed	Agency	Yes	7	Sport	26395	Automatic	Diesel		0.58480989733487398
119	143	66	Woman	4+	Independant	On-line	Yes	18	Saloon	37910	Automatic	Diesel		0.036535563578512745
120	144	52	Woman	4+	Independant	Agency	No	21	Saloon	33799	Manual	Diesel		0.062731494563637885
121	145	60	Woman	4+	"Public Sector - Director"	Agency	Yes	7	Estate	15591	Manual	Diesel		-0.11672772761606677
122	146	71	Man	4+	Retired	Agency	Yes	7	Sport	19663	Manual	Petrol		0.20849999920903961
123	149	56	Woman	1	"Private Sector - Director"	Agency	No	12	Sport	32438	Automatic	Petrol		0.14771517600999196
124	150	40	Man	0	"Public Sector - Manager"	Agency	No	8	Sport	17199	Manual	Petrol		0.53917934947044621
125	151	53	Man	1	"Public Sector - Manager"	Agency	No	17	Estate	33180	Manual	Petrol		0.23245519411876442
126	152	70	Man	2	"Private Sector - Director"	Agency	Yes	13	Sport	36895	Manual	Diesel		0.36127009850583736
127	153	79	Man	0	Independant	Agency	No	20	Saloon	31377	Automatic	Diesel		0.55041120945443223
128	154	46	Woman	0	Government	On-line	No	11	Saloon	25713	Automatic	Petrol		0.11545805864348209
129	155	68	Woman	4+	Government	Agency	Yes	14	Estate	21438	Automatic	Diesel		0.043282897924639754
130	156	50	Man	3	Retired	On-line	No	22	Saloon	21283	Automatic	Diesel		0.20539719291550929
131	157	48	Woman	3	"Private Sector - Employee"	Agency	No	6	Estate	43644	Automatic	Petrol		-0.24280701358674028
132	159	56	Woman	0	Student	Agency	Yes	5	Sport	22048	Automatic	Diesel		0.32572401984504923
133	160	73	Woman	0	"Public Sector - Manager"	Agency	No	14	Saloon	42358	Automatic	Petrol		0.18710256951880239
134	161	22	Woman	0	"Public Sector - Director"	Agency	No	4	Estate	24228	Automatic	Diesel		0.16968937312932647
135	162	68	Man	4+	"Public Sector - Manager"	On-line	No	14	Sport	19253	Automatic	Diesel		0.46655704551119292
136	163	50	Man	4+	Independant	Agency	No	13	Saloon	19699	Automatic	Diesel		0.17189822980370356
137	164	27	Man	2	"Public Sector - Employee"	Agency	No	3	Sport	20639	Automatic	Diesel		0.39698920416818545
138	165	49	Woman	4+	Retired	Agency	Yes	9	Saloon	28542	Manual	Diesel		0.038321175687939912
139	166	71	Man	4+	Student	On-line	No	9	Estate	15395	Automatic	Petrol		-0.0055302882617720359
140	167	20	Man	2	Independant	Agency	No	2	Sport	26061	Manual	Diesel		0.41221115425205052
141	168	79	Man	4+	Retired	On-line	No	14	Estate	26160	Automatic	Petrol		0.31086645276159508
142	169	28	Man	4+	"Private Sector - Employee"	Agency	Yes	7	Saloon	17970	Manual	Petrol		0.0107768992374703
143	171	27	Woman	2	Government	Agency	No	9	Estate	29047	Automatic	Diesel		0.11501767749909604
144	172	65	Man	1	Government	On-line	Yes	5	Estate	23365	Manual	Diesel		0.14415392188945775
145	173	39	Man	1	"Public Sector - Director"	Agency	Yes	9	Estate	34653	Automatic	Petrol		0.045906492943502367
146	175	48	Woman	4+	"Public Sector - Director"	Agency	No	3	Sport	29139	Automatic	Diesel		0.11868029229529632
147	178	69	Woman	4+	Independant	Agency	Yes	18	Estate	25604	Automatic	Diesel		0.052165937637891041
148	179	74	Woman	2	"Public Sector - Director"	Agency	Yes	22	Sport	31623	Automatic	Diesel		0.1553687228923184
149	180	27	Woman	4+	Retired	Agency	Yes	9	Saloon	44720	Automatic	Diesel		0.021934799413536495
150	181	20	Man	2	Independant	Agency	No	2	Sport	21202	Manual	Diesel		0.39049375289586891
151	182	23	Man	0	"Public Sector - Director"	Agency	Yes	5	Estate	20176	Manual	Diesel		0.28992815008180267
152	183	19	Woman	2	"Private Sector - Director"	Agency	Yes	1	Sport	21031	Automatic	Petrol		0.17074080694926613
153	187	23	Woman	4+	"Private Sector - Director"	Agency	Yes	5	Saloon	27503	Automatic	Diesel		0.11682467449574721
154	188	21	Woman	2	"Private Sector - Employee"	Agency	Yes	3	Sport	17136	Automatic	Diesel		0.14710277240845704
155	189	84	Man	4+	"Private Sector - Employee"	Agency	Yes	10	Sport	30109	Automatic	Diesel		0.44798858961868415
156	190	55	Woman	1	Government	Agency	No	20	Saloon	19465	Automatic	Diesel		0.052710298466275993
157	191	46	Man	3	Independant	On-line	No	4	Saloon	34425	Manual	Diesel		0.14321452628890946
158	193	80	Man	4+	"Private Sector - Manager"	Agency	No	19	Estate	33826	Automatic	Diesel		0.40227219064394049
159	194	20	Woman	1	"Private Sector - Director"	On-line	No	2	Sport	31174	Automatic	Diesel		0.28549485824778742
160	195	69	Man	2	"Public Sector - Director"	Agency	No	6	Estate	30211	Automatic	Diesel		0.065003552850346702
161	196	39	Woman	2	"Private Sector - Director"	On-line	Yes	12	Sport	23538	Manual	Diesel		0.30862240138587599
162	197	53	Woman	0	"Private Sector - Director"	Agency	No	22	Saloon	27802	Automatic	Diesel		0.24554812980449564
163	200	64	Man	0	"Private Sector - Manager"	Agency	No	3	Sport	24338	Manual	Diesel		0.47928940032377393
164	201	56	Man	2	"Public Sector - Employee"	Agency	Yes	7	Saloon	38863	Manual	Diesel		0.1394987657500906
165	202	27	Man	4+	Government	On-line	No	9	Sport	16252	Manual	Diesel		0.3760089171110651
166	204	36	Woman	0	Independant	On-line	Yes	16	Estate	38289	Manual	Diesel		0.26816772711709286
167	205	66	Woman	0	Student	Agency	No	13	Estate	24890	Automatic	Diesel		0.19942484018019174
168	206	40	Woman	4+	Government	Agency	No	16	Sport	17198	Automatic	Diesel		0.27086752526518132
169	207	32	Woman	3	Student	Agency	Yes	12	Estate	42812	Manual	Diesel		0.081313334992283326
170	208	47	Woman	2	Government	Agency	No	11	Sport	19458	Automatic	Diesel		0.20524236651839695
171	209	61	Woman	2	"Private Sector - Employee"	On-line	No	15	Sport	36636	Automatic	Petrol		0.05022162787950743
172	210	70	Woman	1	Government	Agency	No	15	Saloon	28312	Automatic	Diesel		0.06689265916214257
173	212	51	Woman	4+	Government	On-line	No	18	Saloon	31290	Automatic	Diesel		0.079297546664821889
174	213	46	Woman	2	"Private Sector - Employee"	Agency	No	4	Estate	23503	Manual	Diesel		-0.070081969157961166
175	214	21	Woman	4+	"Public Sector - Director"	On-line	No	3	Sport	29423	Automatic	Diesel		0.20128672881193099
176	215	71	Man	1	Student	Agency	No	22	Estate	19782	Automatic	Diesel		0.16790866774569993
177	216	51	Woman	0	"Public Sector - Director"	Agency	No	4	Sport	30315	Manual	Petrol		0.17595714519021904
178	218	41	Woman	1	Unemployed	On-line	Yes	12	Sport	16571	Automatic	Diesel		0.20925575672746105
179	219	44	Man	4+	"Public Sector - Employee"	Agency	No	8	Sport	14719	Manual	Diesel		0.29856123531103407
180	220	31	Man	4+	Independant	On-line	No	11	Saloon	25561	Manual	Diesel		0.25170929888025845
181	222	74	Man	0	Retired	Agency	No	7	Saloon	22727	Automatic	Petrol		0.19678888450088755
182	223	54	Woman	4+	"Private Sector - Director"	Agency	Yes	12	Saloon	32938	Automatic	Petrol		-0.02968394860030172
183	225	63	Woman	2	Unemployed	Agency	Yes	8	Saloon	31735	Automatic	Diesel		0.019530722081662441
184	228	55	Man	0	Unemployed	Agency	Yes	9	Estate	26356	Manual	Diesel		0.32554808960653053
185	229	22	Man	1	Independant	On-line	Yes	4	Estate	52930	Manual	Diesel		0.14204915589680744
186	230	41	Woman	0	"Private Sector - Director"	On-line	No	7	Saloon	31848	Manual	Diesel		0.19230035231769621
187	231	19	Woman	2	Independant	Agency	No	1	Saloon	25964	Manual	Petrol		0.00058852316858978848
188	232	48	Woman	4+	"Public Sector - Director"	Agency	No	9	Estate	19271	Automatic	Diesel		-0.082841899095453517
189	233	25	Man	1	"Private Sector - Employee"	Agency	Yes	7	Estate	23565	Automatic	Diesel		0.15104231423966563
190	234	75	Woman	4+	Independant	Agency	No	13	Saloon	24136	Manual	Diesel		0.140498571339772
191	236	25	Woman	0	Student	Agency	No	7	Estate	17380	Manual	Diesel		0.19967089661254472
192	237	32	Man	2	"Public Sector - Director"	Agency	No	14	Sport	30685	Automatic	Petrol		0.2817891700095666
193	238	65	Woman	4+	Student	Agency	No	22	Sport	31916	Automatic	Diesel		0.23588005496824316
194	239	57	Man	1	"Private Sector - Director"	Agency	No	12	Sport	20959	Manual	Diesel		0.36290268486575911
195	240	39	Woman	2	"Public Sector - Director"	Agency	Yes	21	Sport	26403	Automatic	Diesel		0.24509060221038392
196	241	57	Man	1	Unemployed	Agency	Yes	22	Sport	19731	Automatic	Diesel		0.37084926338619562
197	242	32	Man	0	"Private Sector - Director"	Agency	No	11	Sport	21225	Automatic	Diesel		0.57839595934029986
198	243	56	Woman	1	Independant	Agency	No	10	Sport	39114	Manual	Petrol		0.072459633068022139
199	244	52	Woman	1	Independant	Agency	No	22	Saloon	46431	Automatic	Diesel		-0.018942237149002089
200	245	50	Man	0	Independant	Agency	No	16	Sport	23262	Manual	Diesel		0.5245439054647052
201	246	50	Man	2	Independant	Agency	No	19	Estate	23098	Manual	Diesel		0.1951512208609944
202	247	53	Man	4+	"Private Sector - Director"	Agency	No	8	Saloon	13404	Automatic	Petrol		0.02193257397948041
203	248	30	Woman	0	"Private Sector - Employee"	Agency	No	12	Sport	50266	Manual	Diesel		0.30228057024599536
204	250	70	Man	0	"Public Sector - Manager"	Agency	No	20	Sport	29722	Automatic	Diesel		0.65838493619138339
205	251	26	Woman	2	Independant	Agency	No	8	Sport	43765	Automatic	Diesel		0.18526862179663089
206	252	19	Man	0	"Private Sector - Manager"	Agency	No	1	Estate	13490	Automatic	Petrol		0.25537192293272948
207	253	57	Woman	2	Government	Agency	Yes	7	Estate	22270	Manual	Petrol		-0.084709764124288434
208	254	53	Woman	4+	Retired	Agency	No	12	Estate	33307	Manual	Diesel		0.065259714676001307
209	255	33	Woman	4+	"Private Sector - Director"	Agency	No	15	Saloon	26077	Automatic	Diesel		0.15183623494239509
210	256	52	Woman	1	"Private Sector - Director"	Agency	No	8	Sport	43625	Automatic	Diesel		0.11902267075622064
211	257	25	Woman	4+	"Private Sector - Director"	Agency	No	7	Saloon	40240	Automatic	Petrol		-0.018016053809095496
212	258	29	Woman	2	Retired	Agency	No	9	Saloon	20546	Automatic	Diesel		0.086902047338002622
213	261	25	Man	4+	Government	Agency	Yes	7	Estate	21742	Automatic	Diesel		0.23132298905206122
214	262	73	Woman	2	Independant	Agency	No	4	Saloon	25938	Manual	Diesel		-0.0042417087543242249
215	264	80	Man	2	Government	Agency	No	5	Estate	24785	Automatic	Diesel		0.35068737364868124
216	265	29	Man	1	"Private Sector - Employee"	Agency	No	11	Estate	30875	Automatic	Diesel		0.17931262985218216
217	266	19	Man	4+	"Public Sector - Director"	Agency	No	1	Saloon	27707	Automatic	Diesel		0.16433841273453276
218	267	50	Man	4+	Retired	Agency	No	19	Estate	23457	Automatic	Diesel		0.21108338603744409
219	268	48	Woman	4+	"Public Sector - Manager"	Agency	No	20	Saloon	42335	Automatic	Diesel		0.15404971206335449
220	270	81	Man	2	"Private Sector - Manager"	Agency	No	12	Saloon	16479	Automatic	Diesel		0.34748317280136648
221	271	56	Man	4+	Independant	Agency	No	6	Sport	24937	Automatic	Diesel		0.32311966758119731
222	272	45	Man	4+	Unemployed	On-line	No	7	Sport	33455	Manual	Petrol		0.24688051741154299
223	273	49	Man	0	Student	Agency	Yes	17	Saloon	36663	Manual	Diesel		0.34571834520344502
224	274	40	Woman	2	Unemployed	Agency	Yes	17	Sport	21888	Automatic	Diesel		0.30701393417549677
225	275	44	Woman	4+	Student	Agency	No	15	Saloon	19593	Manual	Diesel		0.037841876882768313
226	276	52	Woman	4+	"Private Sector - Director"	On-line	No	16	Saloon	30694	Automatic	Diesel		0.077130145008392409
227	277	38	Man	2	"Public Sector - Director"	On-line	Yes	9	Estate	26396	Automatic	Petrol		0.059048238871195827
228	278	39	Woman	2	Student	Agency	No	17	Sport	25348	Automatic	Petrol		0.21413521167121846
229	279	78	Woman	0	"Public Sector - Employee"	Agency	No	21	Sport	15386	Automatic	Petrol		0.46240186553077584
230	280	18	Man	0	"Public Sector - Director"	On-line	No	0	Estate	48579	Automatic	Diesel		0.22202050894230402
231	281	46	Man	1	Independant	Agency	No	14	Sport	24750	Manual	Diesel		0.37481510279497016
232	282	67	Woman	4+	"Private Sector - Employee"	Agency	No	19	Sport	16467	Automatic	Diesel		0.10757489538385662
233	283	50	Man	4+	"Private Sector - Director"	Agency	No	18	Estate	22828	Manual	Petrol		0.11196155241664486
234	284	43	Man	4+	"Public Sector - Employee"	Agency	No	5	Sport	24736	Automatic	Petrol		0.22227196438053581
235	285	40	Woman	1	"Private Sector - Director"	Agency	No	6	Estate	42407	Automatic	Diesel		0.04673987742809356
236	287	71	Man	0	Retired	Agency	No	3	Saloon	21918	Manual	Diesel		0.28511628188174853
237	288	45	Man	4+	"Public Sector - Manager"	Agency	No	17	Estate	27628	Automatic	Diesel		0.34331734438340905
238	289	41	Man	2	Independant	Agency	No	11	Sport	32447	Automatic	Diesel		0.36102844596026268
239	290	77	Man	1	Independant	Agency	No	15	Sport	38083	Automatic	Petrol		0.45602673282644912
240	293	25	Man	1	Student	Agency	Yes	5	Estate	25107	Automatic	Diesel		0.22934828917118305
241	294	46	Man	0	"Private Sector - Director"	Agency	No	7	Saloon	31250	Automatic	Diesel		0.32333174702899564
242	295	27	Man	2	"Private Sector - Director"	Agency	Yes	9	Saloon	16386	Automatic	Diesel		0.19811072738347135
243	296	77	Woman	4+	Unemployed	Agency	No	19	Estate	29114	Automatic	Diesel		0.27747117995824994
244	298	28	Man	4+	Retired	Agency	No	6	Sport	29674	Manual	Petrol		0.3295278831896537
245	299	36	Woman	4+	"Public Sector - Director"	Agency	No	4	Saloon	13528	Automatic	Diesel		-0.043013506072073313
246	301	71	Man	4+	"Public Sector - Director"	On-line	No	12	Estate	24431	Automatic	Diesel		0.10115131580670986
247	302	27	Man	4+	"Private Sector - Manager"	Agency	No	6	Saloon	23418	Automatic	Petrol		0.14060073484158109
248	304	74	Woman	2	Independant	Agency	Yes	6	Sport	42843	Manual	Petrol		0.027864074672749498
249	308	51	Man	1	"Private Sector - Employee"	Agency	Yes	16	Sport	28303	Automatic	Petrol		0.21557545978790199
250	309	60	Man	2	"Private Sector - Manager"	Agency	No	20	Sport	34096	Automatic	Diesel		0.38462866386771288
251	310	20	Man	4+	"Public Sector - Manager"	On-line	No	2	Estate	18692	Manual	Diesel		0.33294017554142608
252	311	31	Woman	1	"Private Sector - Employee"	Agency	No	6	Sport	30010	Manual	Diesel		0.19452055641810462
253	312	76	Man	2	Independant	Agency	Yes	5	Estate	16528	Manual	Diesel		0.29254083914779461
254	313	56	Man	2	Unemployed	On-line	No	7	Estate	21884	Manual	Diesel		0.14727252048917133
255	314	57	Man	1	"Private Sector - Manager"	Agency	Yes	18	Saloon	31380	Automatic	Petrol		0.11739025885652606
