id,Gender,Salary,Marital,CheckingAccount,NumberOfSavingsAccounts,PersonalAccount,Mortgage,PensionPlan,Region,Status
13151,Male,57877.2,Married,No Checking Account,3,Personal Account 60 plus,No Mortgage,Pension Plan 3,City,1
13152,Male,77080,Single,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Village,1
13153,Female,54090.2,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
13154,Female,102568.6,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Land,1
13155,Male,32704.4,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
13156,Female,23732.8,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13157,Female,26535.2,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
13158,Female,123109.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
13159,Male,27400.4,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
13160,Male,93927.8,Married,Checking Account,1,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Village,0
13161,Male,46951.2,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
13162,Female,49108.2,Married,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Suburban,1
13163,Female,36100,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
13164,Female,30475.2,Married,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,1
13165,Male,41110,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,0
13166,Female,56843.4,Married,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,1
13167,Male,43753,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
13168,Female,25620.4,Single,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13169,Male,30218.8,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13170,Male,74829.4,Single,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Village,1
13171,Female,83043.2,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
13172,Female,50745.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13173,Male,42279.6,Married,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,City,1
13174,Female,55515.2,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,0
13175,Female,45356.2,Single,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Village,0
13176,Female,24357,Married,Checking Account,2,Personal Account 60 plus,Mortgage,No Pension Plan 3,Village,1
13177,Male,52213.4,Single,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Land,0
13178,Male,54835.2,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
13179,Male,46674.4,Married,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Village,1
13180,Male,86791,Single,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
13181,Male,23072.4,Married,No Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Land,1
13182,Male,89317.2,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
13183,Male,65525,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Land,1
13184,Male,32807.6,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Land,1
13185,Female,42369.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
13186,Female,99834.6,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
13187,Female,43247.6,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Village,1
13188,Male,33251.8,Married,No Checking Account,1,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Land,0
13189,Female,28029,Married,Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
13190,Male,40818.6,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,City,0
13191,Female,63342.6,Married,Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,City,0
13192,Female,34298.4,Single,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
13193,Female,55512.6,Married,Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Village,0
13194,Male,81899.8,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
13195,Female,87486.4,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Land,1
13196,Male,76919.8,Married,No Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,City,0
13197,Male,81945.8,Single,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,0
13198,Male,93175.8,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
13199,Female,87599.2,Single,Checking Account,0,Personal Account 60 plus,Mortgage,No Pension Plan 3,Village,1
13200,Female,37824.4,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,0
13201,Female,55531.6,Married,Checking Account,3,No Personal Account,No Mortgage,Pension Plan 3,City,1
13202,Female,66014.6,Single,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
13203,Female,52650.6,Married,No Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,1
13204,Female,30616.4,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
13205,Female,119611.2,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
13206,Female,57316.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
13207,Female,46350,Married,No Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,City,0
13208,Female,23190.8,Single,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Suburban,0
13209,Male,100819.8,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
13210,Female,22430.6,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,0
13211,Female,26655.6,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
13212,Male,32177.6,Married,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,City,1
13213,Female,87886,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
13214,Female,29010.6,Single,Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Land,1
13215,Male,67772.8,Single,Checking Account,0,Personal Account 60 plus,No Mortgage,Pension Plan 3,City,0
13216,Female,33325,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13217,Female,40525.2,Single,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,0
13218,Male,67230.8,Married,Checking Account,1,No Personal Account,Mortgage,No Pension Plan 3,Village,0
13219,Female,44014.2,Single,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,1
13220,Female,57962.2,Married,Checking Account,3,Personal Account,Mortgage,Pension Plan 3,City,1
13221,Female,24327.8,Married,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
13222,Female,34495.4,Married,Checking Account,2,Personal Account 60 plus,No Mortgage,Pension Plan 3,Village,1
13223,Male,25367.2,Single,Checking Account,3,Personal Account,Mortgage,No Pension Plan 3,Suburban,1
13224,Female,32582,Married,Checking Account,0,No Personal Account,Variable Mortgage,Pension Plan 3,Village,1
13225,Male,37414.6,Married,Checking Account,0,Personal Account 60 plus,Mortgage,Pension Plan 3,Suburban,0
13226,Female,38653.8,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13227,Male,29023.6,Single,Checking Account,2,No Personal Account,Variable Mortgage,No Pension Plan 3,City,1
13228,Female,21344,Single,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,Village,1
13229,Female,51661,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
13230,Male,86999,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,1
13231,Male,118350.2,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13232,Female,55285.8,Single,No Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,City,0
13233,Male,60135,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13234,Male,59428.8,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,0
13235,Female,27900.8,Single,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Village,1
13236,Male,20145.2,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
13237,Female,75701.2,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13238,Female,114352.8,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Land,0
13239,Female,77568,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
13240,Male,20383.6,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,0
13241,Female,43642.8,Married,Checking Account,1,No Personal Account,Mortgage,Pension Plan 3,City,0
13242,Male,74778,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Land,0
13243,Male,29255.8,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
13244,Male,97541,Married,Checking Account,1,Personal Account 60 plus,Mortgage,Pension Plan 3,Suburban,0
13245,Male,42192.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
13246,Male,72513.8,Single,No Checking Account,0,Personal Account,Variable Mortgage,No Pension Plan 3,City,0
13247,Female,30563.6,Single,No Checking Account,0,No Personal Account,Variable Mortgage,Pension Plan 3,City,0
13248,Male,18633.96,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
13249,Male,41472.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Land,0
13250,Female,105325,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Village,0
13251,Female,16040.38,Married,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,1
13252,Male,64490.8,Married,No Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
13253,Male,82214.4,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
13254,Female,78716.6,Married,No Checking Account,0,No Personal Account,Mortgage,Pension Plan 3,Suburban,1
13255,Female,72191.8,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,City,1
13256,Female,15447.86,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,1
13257,Female,37131.6,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,Land,0
13258,Male,50265.8,Married,No Checking Account,0,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Land,1
13259,Female,62581.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
13260,Female,49716.8,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
13261,Male,32797.6,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13262,Female,46575.8,Single,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Suburban,0
13263,Female,101795.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
13264,Female,44893,Single,No Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
13265,Male,46184.2,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Suburban,0
13266,Male,49735.2,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,1
13267,Male,44469.4,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
13268,Female,34742.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
13269,Female,59148,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
13270,Male,35888.4,Single,Checking Account,1,Personal Account,Variable Mortgage,Pension Plan 3,City,0
13271,Female,67331,Single,No Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Land,1
13272,Male,72332.4,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
13273,Female,55425.8,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13274,Male,44801.4,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,1
13275,Female,56939.8,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13276,Male,60976,Married,Checking Account,0,Personal Account,Variable Mortgage,No Pension Plan 3,Village,1
13277,Female,38320.6,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Village,0
13278,Male,90685,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,0
13279,Male,12588.42,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
13280,Female,50255.4,Married,No Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,1
13281,Male,103758.6,Married,Checking Account,2,No Personal Account,Mortgage,Pension Plan 3,Suburban,0
13282,Male,25289.8,Married,No Checking Account,2,Personal Account,Mortgage,Pension Plan 3,Village,1
13283,Female,43968.8,Single,Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
13284,Female,58186.2,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Land,1
13285,Male,47056.8,Married,Checking Account,1,Personal Account 60 plus,Variable Mortgage,No Pension Plan 3,Village,0
13286,Male,19033.82,Single,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Village,1
13287,Male,36729.8,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,City,0
13288,Female,62547.6,Single,Checking Account,1,No Personal Account,No Mortgage,Pension Plan 3,Village,0
13289,Male,99347.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,1
13290,Male,25246.8,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Suburban,1
13291,Male,47637.2,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
13292,Female,62947.8,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,0
13293,Male,40536,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Village,1
13294,Male,102834,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
13295,Female,61943.6,Married,Checking Account,3,Personal Account,Variable Mortgage,Pension Plan 3,Land,1
13296,Female,94050,Single,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
13297,Female,19344.5,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
13298,Female,31952.6,Married,Checking Account,0,No Personal Account,No Mortgage,Pension Plan 3,Village,0
13299,Male,29423.6,Married,Checking Account,0,No Personal Account,Variable Mortgage,No Pension Plan 3,City,1
13300,Male,53343.2,Single,No Checking Account,0,Personal Account,Variable Mortgage,Pension Plan 3,Village,0
12101,Female,35092,Single,No Checking Account,1,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12102,Male,60170.2,Married,No Checking Account,3,Personal Account,Variable Mortgage,Pension Plan 3,Village,1
12103,Female,33150.8,Married,Checking Account,0,Personal Account 60 plus,No Mortgage,Pension Plan 3,City,1
12104,Female,40750.8,Married,No Checking Account,3,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12105,Female,101152.6,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Land,1
12106,Female,75739.2,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12107,Male,17754.14,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12108,Male,49893.2,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12109,Female,50608.6,Married,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Suburban,1
12110,Male,48424.2,Married,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,Village,1
12111,Female,119607.8,Married,Checking Account,0,Personal Account 60 plus,No Mortgage,No Pension Plan 3,Village,1
12112,Female,53317.6,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
12113,Female,31471.6,Married,Checking Account,1,Personal Account,Variable Mortgage,No Pension Plan 3,Village,0
12114,Female,110409.4,Married,Checking Account,1,Personal Account,Variable Mortgage,Pension Plan 3,Village,0
12115,Male,38949.2,Married,Checking Account,0,Personal Account,Variable Mortgage,No Pension Plan 3,Land,1
12116,Female,44684.2,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
12117,Female,35459.6,Married,No Checking Account,2,No Personal Account,Mortgage,No Pension Plan 3,Village,1
12118,Female,82032,Married,Checking Account,0,No Personal Account,Mortgage,No Pension Plan 3,Suburban,1
12119,Female,53818.4,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12120,Male,45045.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12121,Male,115761.4,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,City,0
12122,Male,32994.6,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12123,Male,76893.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12124,Female,31077.6,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12125,Male,25280.6,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,1
12126,Male,82068,Married,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,City,1
12127,Male,41619.4,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,City,1
12128,Female,40228,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12129,Female,58718.2,Single,No Checking Account,3,Personal Account,Mortgage,Pension Plan 3,City,1
12130,Male,48540.2,Married,No Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12131,Female,45885.8,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Land,1
12132,Female,32651.6,Married,Checking Account,2,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12133,Male,46886.4,Married,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,Suburban,0
12134,Female,59842.6,Single,Checking Account,3,No Personal Account,No Mortgage,Pension Plan 3,City,1
12135,Male,75043.8,Single,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
12136,Female,39736,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12137,Male,21906,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,Land,1
12138,Female,26762,Single,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Land,0
12139,Female,37008.6,Married,Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,Village,1
12140,Female,50783,Single,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Suburban,1
12141,Male,53548.4,Married,No Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,0
12142,Female,53905.2,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12143,Male,111433,Single,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Village,0
12144,Female,55143,Married,No Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12145,Male,27480,Single,Checking Account,2,Personal Account,Mortgage,Pension Plan 3,City,1
12146,Male,105341.2,Married,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,0
12147,Female,26567.8,Single,Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12148,Male,26213.2,Single,Checking Account,2,Personal Account,Mortgage,No Pension Plan 3,City,0
12149,Male,79095.6,Single,No Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12150,Female,35734.6,Married,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Land,1
12151,Male,28619.4,Single,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Village,1
12152,Male,47789.6,Married,No Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,Village,1
12153,Male,32519.4,Married,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Village,0
12154,Male,59588.2,Single,Checking Account,1,Personal Account,No Mortgage,No Pension Plan 3,Suburban,0
12155,Male,113685,Married,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12156,Female,95671.6,Single,Checking Account,3,No Personal Account,No Mortgage,No Pension Plan 3,Land,0
12157,Female,49955,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12158,Male,46249.8,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12159,Female,30287.6,Married,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12160,Male,50668.6,Single,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,0
12161,Female,49526.6,Married,Checking Account,1,Personal Account,Mortgage,No Pension Plan 3,City,0
12162,Female,73178,Single,No Checking Account,1,Personal Account,No Mortgage,Pension Plan 3,City,0
12163,Male,54045.2,Married,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,City,1
12164,Male,23400.8,Married,Checking Account,0,No Personal Account,No Mortgage,No Pension Plan 3,City,1
12165,Male,10028.42,Single,Checking Account,0,Personal Account,Mortgage,Pension Plan 3,Village,1
12166,Male,34780.2,Married,Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,1
12167,Male,21722,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12168,Female,69785.8,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12169,Male,38806.2,Single,Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Village,1
12170,Female,20883.8,Married,No Checking Account,2,Personal Account,No Mortgage,No Pension Plan 3,Land,0
12171,Male,28129.8,Married,Checking Account,3,Personal Account,No Mortgage,Pension Plan 3,City,1
12172,Male,16125.46,Single,No Checking Account,0,Personal Account,No Mortgage,No Pension Plan 3,City,0
12173,Male,63964,Married,Checking Account,3,Personal Account,Mortgage,Pension Plan 3,City,0
12174,Female,46395,Married,Checking Account,2,No Personal Account,Mortgage,No Pension Plan 3,City,1
12175,Female,105348,Single,Checking Account,2,Personal Account,No Mortgage,Pension Plan 3,City,0
12176,Female,71221,Single,No Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Land,0
12177,Female,53896,Single,Checking Account,0,Personal Account,Mortgage,No Pension Plan 3,Village,1
12178,Male,98913.4,Married,Checking Account,1,Personal Account,Mortgage,Pension Plan 3,City,0
12179,Female,29449,Married,No Checking Account,0,Personal Account,No Mortgage,Pension Plan 3,City,1
12180,Female,69049.8,Married,Checking Account,2,No Personal Account,No Mortgage,Pension Plan 3,Village,0
