ContractId,Age,Gender,Children,Profession,"Customer Type","Multiple cars","Driving Licence Years","Car category","Annual Kilometers",Gearbox,Fuel
75,57,Woman,0,"Private Sector - Manager",Agency,No,3,Estate,30438,Automatic,Petrol
76,39,Man,1,"Private Sector - Employee",Agency,No,10,Sport,24527,Automatic,Diesel
77,30,Woman,2,Retired,Agency,No,5,Saloon,29537,Automatic,Diesel
78,41,Woman,0,"Public Sector - Manager",Agency,Yes,17,Saloon,39170,Automatic,Petrol
79,56,Woman,4+,"Private Sector - Employee",Agency,No,19,Saloon,24929,Manual,Petrol
80,74,Woman,1,Unemployed,Agency,Yes,18,Sport,37547,Manual,Diesel
82,48,Woman,1,Unemployed,Agency,No,13,Saloon,33769,Automatic,Petrol
84,61,Woman,4+,Unemployed,Agency,No,11,Sport,38288,Automatic,Diesel
85,52,Woman,2,"Public Sector - Employee",Agency,No,6,Saloon,14332,Automatic,Petrol
86,63,Woman,2,Independant,Agency,Yes,11,Saloon,33021,Automatic,Diesel
87,62,Woman,0,"Public Sector - Manager",Agency,Yes,4,Saloon,22515,Manual,Diesel
88,29,Man,2,Student,On-line,No,6,Saloon,23352,Automatic,Petrol
89,76,Man,2,"Public Sector - Employee",On-line,No,8,Estate,27173,Automatic,Diesel
91,19,Woman,1,"Private Sector - Manager",Agency,No,1,Sport,40747,Manual,Diesel
92,49,Man,4+,Student,On-line,Yes,4,Estate,22400,Automatic,Diesel
93,65,Woman,2,"Public Sector - Employee",Agency,Yes,8,Estate,30616,Manual,Diesel
94,74,Woman,1,Unemployed,Agency,Yes,10,Saloon,23009,Automatic,Diesel
95,49,Man,4+,"Private Sector - Director",Agency,No,3,Sport,21716,Manual,Petrol
96,57,Man,4+,Unemployed,On-line,No,16,Estate,40367,Manual,Petrol
97,58,Man,4+,"Private Sector - Employee",On-line,No,11,Saloon,15537,Manual,Diesel
98,18,Woman,4+,"Public Sector - Manager",Agency,No,0,Saloon,9370,Automatic,Diesel
99,26,Woman,1,Retired,On-line,No,8,Estate,18995,Automatic,Petrol
100,30,Woman,1,"Private Sector - Employee",Agency,No,4,Saloon,17937,Manual,Petrol
104,48,Woman,1,Retired,Agency,No,9,Saloon,21626,Automatic,Diesel
105,47,Man,2,Retired,Agency,No,14,Saloon,30187,Automatic,Petrol
106,27,Man,0,"Private Sector - Employee",Agency,Yes,9,Saloon,20286,Automatic,Diesel
108,45,Woman,2,Independant,Agency,Yes,19,Estate,20701,Automatic,Diesel
109,51,Woman,2,Independant,Agency,Yes,12,Sport,25541,Automatic,Diesel
110,71,Woman,4+,"Public Sector - Director",Agency,Yes,16,Estate,18166,Manual,Diesel
111,21,Man,1,Retired,On-line,No,3,Sport,17754,Automatic,Petrol
112,51,Woman,4+,Government,Agency,Yes,9,Sport,30954,Automatic,Diesel
113,70,Woman,1,"Private Sector - Employee",Agency,No,14,Sport,21169,Automatic,Diesel
114,36,Man,1,"Public Sector - Manager",Agency,Yes,18,Sport,20327,Manual,Petrol
115,38,Woman,0,Student,Agency,No,12,Sport,20794,Manual,Diesel
117,76,Woman,4+,Independant,Agency,No,3,Saloon,38745,Automatic,Diesel
118,30,Man,4+,Unemployed,On-line,No,12,Saloon,23208,Manual,Diesel
119,54,Woman,0,"Private Sector - Director",Agency,Yes,21,Estate,35790,Automatic,Diesel
120,82,Man,2,Independant,Agency,Yes,5,Estate,33814,Manual,Petrol
121,53,Man,2,Independant,On-line,No,17,Estate,23467,Automatic,Petrol
122,18,Woman,3,"Public Sector - Director",Agency,Yes,0,Sport,22000,Automatic,Petrol
123,55,Man,2,Student,Agency,No,12,Sport,26619,Manual,Diesel
124,22,Woman,2,Independant,On-line,No,4,Estate,21835,Automatic,Petrol
125,80,Man,4+,Government,On-line,No,16,Saloon,26491,Manual,Diesel
126,22,Woman,2,Independant,On-line,No,4,Estate,39606,Manual,Petrol
128,61,Woman,4+,Retired,Agency,No,5,Estate,15464,Automatic,Diesel
129,43,Woman,4+,Student,On-line,No,16,Estate,21605,Automatic,Petrol
130,43,Woman,4+,"Public Sector - Manager",On-line,No,4,Estate,22893,Automatic,Diesel
131,36,Man,2,"Private Sector - Manager",Agency,No,18,Sport,24057,Manual,Petrol
133,36,Woman,4+,"Private Sector - Employee",Agency,Yes,4,Estate,41685,Automatic,Diesel
135,49,Man,4+,"Public Sector - Employee",Agency,No,8,Saloon,33443,Manual,Diesel
136,74,Man,0,"Private Sector - Employee",Agency,Yes,19,Saloon,39943,Manual,Petrol
137,22,Man,0,Independant,Agency,No,4,Estate,19982,Manual,Diesel
138,44,Woman,1,Independant,Agency,Yes,16,Saloon,28571,Automatic,Petrol
139,18,Woman,0,Retired,On-line,No,0,Estate,26881,Automatic,Petrol
140,19,Man,4+,Government,Agency,Yes,1,Estate,9482,Automatic,Diesel
141,48,Woman,2,Retired,Agency,No,16,Estate,31431,Automatic,Diesel
142,25,Man,0,Unemployed,Agency,Yes,7,Sport,26395,Automatic,Diesel
143,66,Woman,4+,Independant,On-line,Yes,18,Saloon,37910,Automatic,Diesel
144,52,Woman,4+,Independant,Agency,No,21,Saloon,33799,Manual,Diesel
145,60,Woman,4+,"Public Sector - Director",Agency,Yes,7,Estate,15591,Manual,Diesel
146,71,Man,4+,Retired,Agency,Yes,7,Sport,19663,Manual,Petrol
149,56,Woman,1,"Private Sector - Director",Agency,No,12,Sport,32438,Automatic,Petrol
150,40,Man,0,"Public Sector - Manager",Agency,No,8,Sport,17199,Manual,Petrol
151,53,Man,1,"Public Sector - Manager",Agency,No,17,Estate,33180,Manual,Petrol
152,70,Man,2,"Private Sector - Director",Agency,Yes,13,Sport,36895,Manual,Diesel
153,79,Man,0,Independant,Agency,No,20,Saloon,31377,Automatic,Diesel
154,46,Woman,0,Government,On-line,No,11,Saloon,25713,Automatic,Petrol
155,68,Woman,4+,Government,Agency,Yes,14,Estate,21438,Automatic,Diesel
156,50,Man,3,Retired,On-line,No,22,Saloon,21283,Automatic,Diesel
157,48,Woman,3,"Private Sector - Employee",Agency,No,6,Estate,43644,Automatic,Petrol
159,56,Woman,0,Student,Agency,Yes,5,Sport,22048,Automatic,Diesel
160,73,Woman,0,"Public Sector - Manager",Agency,No,14,Saloon,42358,Automatic,Petrol
161,22,Woman,0,"Public Sector - Director",Agency,No,4,Estate,24228,Automatic,Diesel
162,68,Man,4+,"Public Sector - Manager",On-line,No,14,Sport,19253,Automatic,Diesel
163,50,Man,4+,Independant,Agency,No,13,Saloon,19699,Automatic,Diesel
164,27,Man,2,"Public Sector - Employee",Agency,No,3,Sport,20639,Automatic,Diesel
165,49,Woman,4+,Retired,Agency,Yes,9,Saloon,28542,Manual,Diesel
166,71,Man,4+,Student,On-line,No,9,Estate,15395,Automatic,Petrol
167,20,Man,2,Independant,Agency,No,2,Sport,26061,Manual,Diesel
168,79,Man,4+,Retired,On-line,No,14,Estate,26160,Automatic,Petrol
169,28,Man,4+,"Private Sector - Employee",Agency,Yes,7,Saloon,17970,Manual,Petrol
171,27,Woman,2,Government,Agency,No,9,Estate,29047,Automatic,Diesel
172,65,Man,1,Government,On-line,Yes,5,Estate,23365,Manual,Diesel
173,39,Man,1,"Public Sector - Director",Agency,Yes,9,Estate,34653,Automatic,Petrol
175,48,Woman,4+,"Public Sector - Director",Agency,No,3,Sport,29139,Automatic,Diesel
178,69,Woman,4+,Independant,Agency,Yes,18,Estate,25604,Automatic,Diesel
179,74,Woman,2,"Public Sector - Director",Agency,Yes,22,Sport,31623,Automatic,Diesel
180,27,Woman,4+,Retired,Agency,Yes,9,Saloon,44720,Automatic,Diesel
181,20,Man,2,Independant,Agency,No,2,Sport,21202,Manual,Diesel
182,23,Man,0,"Public Sector - Director",Agency,Yes,5,Estate,20176,Manual,Diesel
183,19,Woman,2,"Private Sector - Director",Agency,Yes,1,Sport,21031,Automatic,Petrol
187,23,Woman,4+,"Private Sector - Director",Agency,Yes,5,Saloon,27503,Automatic,Diesel
188,21,Woman,2,"Private Sector - Employee",Agency,Yes,3,Sport,17136,Automatic,Diesel
189,84,Man,4+,"Private Sector - Employee",Agency,Yes,10,Sport,30109,Automatic,Diesel
190,55,Woman,1,Government,Agency,No,20,Saloon,19465,Automatic,Diesel
191,46,Man,3,Independant,On-line,No,4,Saloon,34425,Manual,Diesel
193,80,Man,4+,"Private Sector - Manager",Agency,No,19,Estate,33826,Automatic,Diesel
194,20,Woman,1,"Private Sector - Director",On-line,No,2,Sport,31174,Automatic,Diesel
195,69,Man,2,"Public Sector - Director",Agency,No,6,Estate,30211,Automatic,Diesel
196,39,Woman,2,"Private Sector - Director",On-line,Yes,12,Sport,23538,Manual,Diesel
197,53,Woman,0,"Private Sector - Director",Agency,No,22,Saloon,27802,Automatic,Diesel
200,64,Man,0,"Private Sector - Manager",Agency,No,3,Sport,24338,Manual,Diesel
201,56,Man,2,"Public Sector - Employee",Agency,Yes,7,Saloon,38863,Manual,Diesel
202,27,Man,4+,Government,On-line,No,9,Sport,16252,Manual,Diesel
204,36,Woman,0,Independant,On-line,Yes,16,Estate,38289,Manual,Diesel
205,66,Woman,0,Student,Agency,No,13,Estate,24890,Automatic,Diesel
206,40,Woman,4+,Government,Agency,No,16,Sport,17198,Automatic,Diesel
207,32,Woman,3,Student,Agency,Yes,12,Estate,42812,Manual,Diesel
208,47,Woman,2,Government,Agency,No,11,Sport,19458,Automatic,Diesel
209,61,Woman,2,"Private Sector - Employee",On-line,No,15,Sport,36636,Automatic,Petrol
210,70,Woman,1,Government,Agency,No,15,Saloon,28312,Automatic,Diesel
212,51,Woman,4+,Government,On-line,No,18,Saloon,31290,Automatic,Diesel
213,46,Woman,2,"Private Sector - Employee",Agency,No,4,Estate,23503,Manual,Diesel
214,21,Woman,4+,"Public Sector - Director",On-line,No,3,Sport,29423,Automatic,Diesel
215,71,Man,1,Student,Agency,No,22,Estate,19782,Automatic,Diesel
216,51,Woman,0,"Public Sector - Director",Agency,No,4,Sport,30315,Manual,Petrol
218,41,Woman,1,Unemployed,On-line,Yes,12,Sport,16571,Automatic,Diesel
219,44,Man,4+,"Public Sector - Employee",Agency,No,8,Sport,14719,Manual,Diesel
220,31,Man,4+,Independant,On-line,No,11,Saloon,25561,Manual,Diesel
222,74,Man,0,Retired,Agency,No,7,Saloon,22727,Automatic,Petrol
223,54,Woman,4+,"Private Sector - Director",Agency,Yes,12,Saloon,32938,Automatic,Petrol
225,63,Woman,2,Unemployed,Agency,Yes,8,Saloon,31735,Automatic,Diesel
228,55,Man,0,Unemployed,Agency,Yes,9,Estate,26356,Manual,Diesel
229,22,Man,1,Independant,On-line,Yes,4,Estate,52930,Manual,Diesel
230,41,Woman,0,"Private Sector - Director",On-line,No,7,Saloon,31848,Manual,Diesel
231,19,Woman,2,Independant,Agency,No,1,Saloon,25964,Manual,Petrol
232,48,Woman,4+,"Public Sector - Director",Agency,No,9,Estate,19271,Automatic,Diesel
233,25,Man,1,"Private Sector - Employee",Agency,Yes,7,Estate,23565,Automatic,Diesel
234,75,Woman,4+,Independant,Agency,No,13,Saloon,24136,Manual,Diesel
236,25,Woman,0,Student,Agency,No,7,Estate,17380,Manual,Diesel
237,32,Man,2,"Public Sector - Director",Agency,No,14,Sport,30685,Automatic,Petrol
238,65,Woman,4+,Student,Agency,No,22,Sport,31916,Automatic,Diesel
239,57,Man,1,"Private Sector - Director",Agency,No,12,Sport,20959,Manual,Diesel
240,39,Woman,2,"Public Sector - Director",Agency,Yes,21,Sport,26403,Automatic,Diesel
241,57,Man,1,Unemployed,Agency,Yes,22,Sport,19731,Automatic,Diesel
242,32,Man,0,"Private Sector - Director",Agency,No,11,Sport,21225,Automatic,Diesel
243,56,Woman,1,Independant,Agency,No,10,Sport,39114,Manual,Petrol
244,52,Woman,1,Independant,Agency,No,22,Saloon,46431,Automatic,Diesel
245,50,Man,0,Independant,Agency,No,16,Sport,23262,Manual,Diesel
246,50,Man,2,Independant,Agency,No,19,Estate,23098,Manual,Diesel
247,53,Man,4+,"Private Sector - Director",Agency,No,8,Saloon,13404,Automatic,Petrol
248,30,Woman,0,"Private Sector - Employee",Agency,No,12,Sport,50266,Manual,Diesel
250,70,Man,0,"Public Sector - Manager",Agency,No,20,Sport,29722,Automatic,Diesel
251,26,Woman,2,Independant,Agency,No,8,Sport,43765,Automatic,Diesel
252,19,Man,0,"Private Sector - Manager",Agency,No,1,Estate,13490,Automatic,Petrol
253,57,Woman,2,Government,Agency,Yes,7,Estate,22270,Manual,Petrol
254,53,Woman,4+,Retired,Agency,No,12,Estate,33307,Manual,Diesel
255,33,Woman,4+,"Private Sector - Director",Agency,No,15,Saloon,26077,Automatic,Diesel
256,52,Woman,1,"Private Sector - Director",Agency,No,8,Sport,43625,Automatic,Diesel
257,25,Woman,4+,"Private Sector - Director",Agency,No,7,Saloon,40240,Automatic,Petrol
258,29,Woman,2,Retired,Agency,No,9,Saloon,20546,Automatic,Diesel
261,25,Man,4+,Government,Agency,Yes,7,Estate,21742,Automatic,Diesel
262,73,Woman,2,Independant,Agency,No,4,Saloon,25938,Manual,Diesel
264,80,Man,2,Government,Agency,No,5,Estate,24785,Automatic,Diesel
265,29,Man,1,"Private Sector - Employee",Agency,No,11,Estate,30875,Automatic,Diesel
266,19,Man,4+,"Public Sector - Director",Agency,No,1,Saloon,27707,Automatic,Diesel
267,50,Man,4+,Retired,Agency,No,19,Estate,23457,Automatic,Diesel
268,48,Woman,4+,"Public Sector - Manager",Agency,No,20,Saloon,42335,Automatic,Diesel
270,81,Man,2,"Private Sector - Manager",Agency,No,12,Saloon,16479,Automatic,Diesel
271,56,Man,4+,Independant,Agency,No,6,Sport,24937,Automatic,Diesel
272,45,Man,4+,Unemployed,On-line,No,7,Sport,33455,Manual,Petrol
273,49,Man,0,Student,Agency,Yes,17,Saloon,36663,Manual,Diesel
274,40,Woman,2,Unemployed,Agency,Yes,17,Sport,21888,Automatic,Diesel
275,44,Woman,4+,Student,Agency,No,15,Saloon,19593,Manual,Diesel
276,52,Woman,4+,"Private Sector - Director",On-line,No,16,Saloon,30694,Automatic,Diesel
277,38,Man,2,"Public Sector - Director",On-line,Yes,9,Estate,26396,Automatic,Petrol
278,39,Woman,2,Student,Agency,No,17,Sport,25348,Automatic,Petrol
279,78,Woman,0,"Public Sector - Employee",Agency,No,21,Sport,15386,Automatic,Petrol
280,18,Man,0,"Public Sector - Director",On-line,No,0,Estate,48579,Automatic,Diesel
281,46,Man,1,Independant,Agency,No,14,Sport,24750,Manual,Diesel
282,67,Woman,4+,"Private Sector - Employee",Agency,No,19,Sport,16467,Automatic,Diesel
283,50,Man,4+,"Private Sector - Director",Agency,No,18,Estate,22828,Manual,Petrol
284,43,Man,4+,"Public Sector - Employee",Agency,No,5,Sport,24736,Automatic,Petrol
285,40,Woman,1,"Private Sector - Director",Agency,No,6,Estate,42407,Automatic,Diesel
287,71,Man,0,Retired,Agency,No,3,Saloon,21918,Manual,Diesel
288,45,Man,4+,"Public Sector - Manager",Agency,No,17,Estate,27628,Automatic,Diesel
289,41,Man,2,Independant,Agency,No,11,Sport,32447,Automatic,Diesel
290,77,Man,1,Independant,Agency,No,15,Sport,38083,Automatic,Petrol
293,25,Man,1,Student,Agency,Yes,5,Estate,25107,Automatic,Diesel
294,46,Man,0,"Private Sector - Director",Agency,No,7,Saloon,31250,Automatic,Diesel
295,27,Man,2,"Private Sector - Director",Agency,Yes,9,Saloon,16386,Automatic,Diesel
296,77,Woman,4+,Unemployed,Agency,No,19,Estate,29114,Automatic,Diesel
298,28,Man,4+,Retired,Agency,No,6,Sport,29674,Manual,Petrol
299,36,Woman,4+,"Public Sector - Director",Agency,No,4,Saloon,13528,Automatic,Diesel
301,71,Man,4+,"Public Sector - Director",On-line,No,12,Estate,24431,Automatic,Diesel
302,27,Man,4+,"Private Sector - Manager",Agency,No,6,Saloon,23418,Automatic,Petrol
304,74,Woman,2,Independant,Agency,Yes,6,Sport,42843,Manual,Petrol
308,51,Man,1,"Private Sector - Employee",Agency,Yes,16,Sport,28303,Automatic,Petrol
309,60,Man,2,"Private Sector - Manager",Agency,No,20,Sport,34096,Automatic,Diesel
310,20,Man,4+,"Public Sector - Manager",On-line,No,2,Estate,18692,Manual,Diesel
311,31,Woman,1,"Private Sector - Employee",Agency,No,6,Sport,30010,Manual,Diesel
312,76,Man,2,Independant,Agency,Yes,5,Estate,16528,Manual,Diesel
313,56,Man,2,Unemployed,On-line,No,7,Estate,21884,Manual,Diesel
314,57,Man,1,"Private Sector - Manager",Agency,Yes,18,Saloon,31380,Automatic,Petrol
315,73,Man,2,"Public Sector - Manager",On-line,No,16,Estate,39408,Automatic,Petrol
316,24,Woman,1,Independant,Agency,No,6,Estate,43363,Automatic,Diesel
317,48,Woman,0,Student,On-line,No,16,Estate,30771,Manual,Petrol
318,36,Woman,2,"Private Sector - Manager",Agency,No,16,Estate,26103,Automatic,Diesel
319,48,Man,0,Student,Agency,No,12,Saloon,28523,Automatic,Diesel
320,41,Woman,0,"Public Sector - Director",Agency,No,5,Sport,25145,Automatic,Petrol
321,40,Man,4+,"Private Sector - Director",Agency,Yes,18,Saloon,24031,Manual,Diesel
322,52,Woman,4+,"Private Sector - Manager",On-line,No,19,Sport,44623,Manual,Diesel
323,48,Woman,4+,Unemployed,Agency,No,12,Sport,12563,Manual,Diesel
324,44,Man,2,Government,On-line,No,19,Estate,40959,Automatic,Diesel
325,57,Woman,4+,Unemployed,On-line,No,11,Sport,28207,Manual,Diesel
326,75,Man,2,"Public Sector - Manager",Agency,Yes,11,Estate,16973,Manual,Petrol
327,71,Woman,2,"Public Sector - Employee",Agency,Yes,21,Sport,16748,Manual,Diesel
328,43,Woman,0,Independant,Agency,No,19,Sport,24599,Manual,Petrol
329,58,Woman,1,"Private Sector - Manager",Agency,No,22,Sport,22389,Automatic,Diesel
331,56,Man,4+,"Public Sector - Employee",Agency,No,15,Saloon,23848,Automatic,Diesel
332,75,Man,4+,"Public Sector - Manager",Agency,No,13,Estate,23792,Manual,Petrol
335,72,Woman,3,"Public Sector - Manager",Agency,Yes,5,Saloon,23674,Automatic,Petrol
336,52,Woman,1,"Public Sector - Manager",Agency,No,20,Sport,25526,Automatic,Petrol
337,44,Man,2,Independant,Agency,No,9,Saloon,36595,Automatic,Diesel
338,80,Woman,3,"Private Sector - Director",On-line,Yes,20,Sport,15311,Automatic,Petrol
339,35,Woman,4+,Independant,Agency,No,13,Saloon,19106,Automatic,Diesel
340,56,Man,2,Independant,Agency,Yes,20,Estate,31397,Manual,Diesel
341,23,Man,0,"Public Sector - Employee",On-line,No,5,Sport,18920,Automatic,Diesel
342,57,Man,2,Government,Agency,No,10,Sport,25310,Automatic,Petrol
343,72,Woman,0,"Public Sector - Manager",Agency,No,16,Sport,21595,Manual,Diesel
344,32,Man,1,Student,On-line,No,14,Saloon,29952,Automatic,Diesel
345,32,Woman,0,Student,On-line,No,14,Saloon,20560,Automatic,Diesel
346,46,Woman,4+,"Public Sector - Manager",On-line,No,8,Saloon,24249,Manual,Petrol
347,39,Man,1,Government,On-line,No,20,Sport,26500,Automatic,Diesel
348,23,Man,4+,"Public Sector - Employee",Agency,Yes,4,Estate,35561,Automatic,Petrol
349,69,Man,2,Government,On-line,No,17,Estate,19148,Manual,Petrol
350,52,Woman,4+,Retired,Agency,No,14,Saloon,19945,Manual,Petrol
351,49,Woman,2,"Private Sector - Director",On-line,No,12,Sport,27379,Automatic,Diesel
352,29,Woman,0,Government,On-line,Yes,3,Estate,23653,Automatic,Diesel
353,25,Woman,2,Student,Agency,Yes,6,Sport,23119,Automatic,Diesel
354,57,Man,0,"Private Sector - Employee",On-line,Yes,13,Estate,20227,Automatic,Petrol
355,37,Man,0,"Private Sector - Director",Agency,No,16,Saloon,21348,Automatic,Petrol
356,29,Woman,4+,"Public Sector - Director",On-line,No,3,Saloon,24365,Manual,Diesel
357,48,Woman,2,"Private Sector - Director",Agency,No,4,Estate,34578,Manual,Diesel
358,40,Man,0,"Private Sector - Director",On-line,Yes,14,Estate,18120,Automatic,Diesel
359,42,Man,2,"Private Sector - Manager",Agency,Yes,10,Sport,52208,Automatic,Diesel
360,52,Man,2,Independant,Agency,No,6,Sport,36453,Automatic,Diesel
362,37,Woman,1,"Public Sector - Employee",Agency,Yes,13,Estate,54152,Automatic,Petrol
363,89,Woman,0,Retired,On-line,No,15,Estate,24067,Manual,Diesel
364,30,Woman,4+,"Private Sector - Manager",Agency,No,11,Sport,16158,Manual,Diesel
365,65,Man,4+,"Public Sector - Manager",Agency,Yes,18,Saloon,53187,Automatic,Diesel
366,38,Man,2,Student,On-line,Yes,14,Saloon,24918,Automatic,Diesel
367,51,Man,2,"Public Sector - Employee",Agency,No,12,Saloon,52389,Manual,Diesel
368,72,Man,1,Unemployed,On-line,Yes,17,Saloon,21061,Manual,Petrol
369,44,Woman,3,"Public Sector - Employee",Agency,No,22,Saloon,40925,Automatic,Diesel
370,43,Man,1,Government,Agency,No,14,Saloon,37098,Automatic,Diesel
371,50,Woman,2,Independant,Agency,No,10,Sport,31526,Automatic,Petrol
372,55,Man,2,Retired,Agency,No,15,Saloon,24684,Automatic,Diesel
373,65,Woman,1,"Private Sector - Employee",On-line,No,17,Saloon,29147,Automatic,Petrol
374,27,Woman,2,Independant,Agency,No,9,Sport,28031,Manual,Diesel
375,20,Man,2,"Private Sector - Employee",Agency,Yes,2,Estate,30232,Automatic,Diesel
376,20,Man,0,Independant,Agency,No,2,Sport,25122,Automatic,Diesel
377,36,Man,4+,Independant,Agency,No,18,Saloon,24078,Automatic,Diesel
379,36,Woman,0,Student,On-line,Yes,18,Estate,20363,Automatic,Diesel
380,50,Man,2,Student,Agency,Yes,13,Estate,27584,Automatic,Diesel
383,51,Woman,0,Unemployed,On-line,Yes,19,Estate,29900,Manual,Diesel
384,24,Man,0,"Private Sector - Director",Agency,Yes,6,Saloon,12375,Manual,Diesel
385,26,Woman,0,"Public Sector - Manager",Agency,No,8,Saloon,19770,Automatic,Petrol
386,75,Man,0,Student,Agency,Yes,4,Estate,26677,Manual,Diesel
387,49,Woman,2,"Private Sector - Manager",Agency,No,3,Saloon,36695,Manual,Petrol
388,27,Man,2,"Private Sector - Manager",Agency,No,8,Estate,34895,Manual,Diesel
391,40,Man,4+,Student,Agency,Yes,21,Saloon,21540,Automatic,Petrol
392,76,Man,1,"Public Sector - Employee",Agency,Yes,8,Sport,20890,Automatic,Diesel
393,49,Woman,1,"Private Sector - Manager",Agency,Yes,17,Estate,19711,Automatic,Petrol
